"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"TCGA-DD-AACK-01A",-897.192346785533,201.633899877,-695.558446908533,0.876194665163088
"TCGA-DD-AADA-01A",-156.219973506283,1054.68506319678,898.465089690499,0.740574481530264
"TCGA-DD-A3A5-01A",-479.687582627774,168.622529789115,-311.065052838659,0.847612693745751
"TCGA-DD-A3A5-11A",-702.293985261159,57.6644643298335,-644.629520931325,0.872567209651261
"TCGA-CC-A7IJ-01A",922.988330782282,1939.54403249244,2862.53236327472,0.518950374670539
"TCGA-RC-A6M5-01A",473.727275243847,275.252165671269,748.979440915116,0.755139987721533
"TCGA-DD-AACY-01A",-588.902367831645,372.284880089977,-216.617487741668,0.8401751232211
"TCGA-BC-A10R-11A",125.559178798308,1337.66174781755,1463.22092661586,0.682388577594086
"TCGA-DD-AAW0-01A",148.260239938824,1129.61336734306,1277.87360728188,0.702021498751654
"TCGA-DD-A39X-01A",-279.284256690497,597.783733492011,318.499476801514,0.795030036439314
"TCGA-DD-AAD3-01A",172.334222738357,740.09190592579,912.426128664147,0.739195838017565
"TCGA-DD-AAW2-01A",-652.321151725299,-174.523272789107,-826.844424514406,0.885319319265083
"TCGA-DD-AAD2-01A",433.626360212746,1047.33635179019,1480.96271200294,0.68048255794353
"TCGA-DD-AACN-01A",-145.748747318583,404.041250713181,258.292503394597,0.800359594400603
"TCGA-5C-A9VG-01A",-266.122952622041,-232.524307653264,-498.647260275305,0.861899988807791
"TCGA-G3-A25X-01A",64.8234826339982,1542.71066234264,1607.53414497664,0.666751710189328
"TCGA-DD-A39X-11A",-233.205138298194,789.607689793511,556.402551495317,0.773367336322853
"TCGA-BC-A10R-01A",47.8560131597413,61.0226742957006,108.878687455442,0.813314859505111
"TCGA-BC-A3KF-01A",-667.336279178623,-25.491245534779,-692.827524713402,0.876001393625126
"TCGA-RG-A7D4-01A",-940.429173066346,1555.24092240027,614.811749333921,0.767903552064028
"TCGA-G3-AAV4-01A",-763.929367360832,-42.2061935248772,-806.135560885709,0.883901764299269
"TCGA-2Y-A9H7-01A",-1010.61540325784,371.123858529211,-639.491544728631,0.872198541582517
"TCGA-DD-A11D-01A",-492.666633089019,92.3354407145538,-400.331192374465,0.854492508383524
"TCGA-DD-A4NB-01A",1125.86413328669,936.046550084509,2061.91068337119,0.615597990458251
"TCGA-BD-A2L6-11A",692.254421484865,2869.90655972783,3562.16098121269,0.428584231187154
"TCGA-DD-AADJ-01A",-839.803585055948,499.023542745121,-340.780042310827,0.849919070010161
"TCGA-MI-A75G-01A",-925.270088437894,-223.777241343555,-1149.04732978145,0.906312828918518
"TCGA-BC-A10U-11A",-114.415906465172,634.983351567474,520.567445102302,0.776691354418925
"TCGA-CC-5262-01A",376.252249274896,1223.25715749282,1599.50940676772,0.667629141310313
"TCGA-DD-AAW1-01A",-767.019945290531,-80.9868826083553,-848.006827898887,0.886759468149637
"TCGA-G3-A7M7-01A",-637.38346209998,-12.4442642964534,-649.827726396434,0.872939694296304
"TCGA-DD-A4NP-01A",-550.818739103613,258.687789265671,-292.130949837942,0.846134678957736
"TCGA-MI-A75E-01A",9.63273482017473,982.905988035465,992.53872285564,0.731224931040822
"TCGA-G3-A7M8-01A",-130.045271894501,349.742922464675,219.697650570173,0.8037431804024
"TCGA-DD-AACL-01A",-335.336348610631,1791.15430453209,1455.81795592146,0.683182519194933
"TCGA-ZP-A9D0-01A",-578.567896664753,-134.304542945844,-712.872439610597,0.877416725518962
"TCGA-K7-A5RF-01A",447.665605033127,1385.10573549418,1832.77134052731,0.641751216593893
"TCGA-BC-A10W-01A",-459.811246183083,522.050941594487,62.2396954114038,0.817278971440273
"TCGA-DD-A114-11A",269.438246765378,1910.23539395778,2179.67364072316,0.601884099288926
"TCGA-DD-AAD6-01A",-1293.67704558548,106.952475249171,-1186.72457033631,0.908636221282877
"TCGA-DD-AACD-01A",-237.020151083451,1111.04780629251,874.027655209061,0.742980172081634
"TCGA-DD-A4NH-01A",-460.585420779662,968.482535200753,507.897114421091,0.77786150006158
"TCGA-DD-AADS-01A",-529.967627672683,1419.79412838808,889.8265007154,0.741425979300748
"TCGA-ED-A7PX-01A",186.675300212173,442.606169187754,629.281469399927,0.766541268168375
"TCGA-G3-A3CH-11A",160.734564612259,1616.94324970326,1777.67781431552,0.64793225747789
"TCGA-DD-A3A2-01A",-400.899279135051,230.300225683818,-170.599053451233,0.836492658614908
"TCGA-DD-AAE9-01A",-1224.78713318546,74.3088645616744,-1150.47826862378,0.906401575601042
"TCGA-EP-A2KA-01A",-616.550585549779,1486.51479609679,869.964210547016,0.743379262956485
"TCGA-DD-A3A3-01A",-1192.79444130818,350.447425425899,-842.347015882283,0.886375142942858
"TCGA-2Y-A9GZ-01A",-835.018915599222,-335.204743939598,-1170.22365953882,0.907622097944345
"TCGA-DD-A1ED-01A",63.0593865921828,1183.22376873777,1246.28315532995,0.705316285124859
"TCGA-DD-A11B-01A",-711.579401077962,-249.70675225149,-961.286153329452,0.894322546983601
"TCGA-G3-A25Y-01A",-19.7008739984537,657.575397977245,637.874523978791,0.765730618967086
"TCGA-FV-A3R2-11A",107.470620047619,1436.33773781017,1543.80835785779,0.673693940085425
"TCGA-DD-A73D-01A",-1373.25985836304,-612.580945964923,-1985.84080432796,0.951263485402379
"TCGA-2V-A95S-01A",-250.664763237147,2192.35964122197,1941.69487798483,0.629407763371766
"TCGA-2Y-A9GT-01A",-17.5618803520634,1528.18702018249,1510.62513983042,0.67728558849452
"TCGA-DD-A11C-11A",25.6398318516338,948.845130158345,974.484962009979,0.73303007916608
"TCGA-G3-A25Z-01A",-295.501530164762,487.265674455901,191.764144291138,0.80617600749517
"TCGA-DD-A114-01A",458.625724563947,1854.73108642999,2313.35681099394,0.586098511844007
"TCGA-WX-AA46-01A",-140.293211117876,494.932640009906,354.63942889203,0.791801055454669
"TCGA-NI-A8LF-01A",-227.67164660722,131.442697460924,-96.2289491462955,0.830460838317273
"TCGA-DD-A39Z-11A",-366.247980314643,194.644268761306,-171.603711553338,0.836573461034648
"TCGA-DD-A1EC-01A",-18.9222048366681,2425.4263429515,2406.50413811483,0.574965706528533
"TCGA-DD-AAE2-01A",-78.865281255398,960.593116409192,881.727835153794,0.742223174615958
"TCGA-DD-A39W-11A",-178.380545810216,612.624236379778,434.243690569561,0.784610219974349
"TCGA-DD-AAD0-01A",-1287.50777280173,-206.943893366273,-1494.451666168,0.926565771671476
"TCGA-DD-A11D-11A",293.648505472491,1573.94560676971,1867.5941122422,0.637822714004549
"TCGA-EP-A2KB-01A",-958.49903646097,34.8793977403051,-923.619638720665,0.891835085835217
"TCGA-G3-A7M9-01A",-1184.1887067069,-264.967590368382,-1449.15629707529,0.924044465100976
"TCGA-DD-AAVW-01A",382.415586322895,857.648164792225,1240.06375111512,0.705963165106178
"TCGA-DD-AACQ-01A",-1318.68225453916,-495.76026016164,-1814.4425147008,0.943204649014337
"TCGA-DD-A1EF-01A",-477.478508524859,650.927860290239,173.44935176538,0.807763752932723
"TCGA-DD-AAVZ-01A",-627.196304318872,140.617041384102,-486.57926293477,0.86100037713328
"TCGA-DD-AAVP-01A",-465.883322184217,157.563254123283,-308.320068060934,0.847398823053945
"TCGA-UB-A7MA-01A",-665.263425275934,14.4035521899617,-650.859873085972,0.873013593733087
"TCGA-PD-A5DF-01A",307.260634679728,939.951454277638,1247.21208895737,0.705219616304982
"TCGA-XR-A8TF-01A",-956.295821624769,-56.0498401366429,-1012.34566176141,0.897650805583482
"TCGA-DD-A11B-11A",8.99734162315634,624.289527081334,633.286868704491,0.766163559589399
"TCGA-DD-A1EL-11A",189.569502366904,964.57246239726,1154.14196476416,0.714839438474007
"TCGA-CC-A5UE-01A",-1343.65239544959,53.3800564021961,-1290.2723390474,0.91487820263159
"TCGA-GJ-A6C0-01A",-398.55687743145,1147.50480199552,748.947924564067,0.755143020504434
"TCGA-ZP-A9CZ-01A",-65.8305428128716,1177.76798033376,1111.93743752089,0.719157880583224
"TCGA-RC-A7SB-01A",-889.887252035662,88.0824674281363,-801.804784607526,0.883604282626672
"TCGA-RC-A7SH-01A",-1098.83868654317,-361.554125715876,-1460.39281225904,0.924673744989799
"TCGA-2Y-A9GW-01A",186.645279545055,1501.84540908162,1688.49068862668,0.65784832067517
"TCGA-WX-AA47-01A",-1215.03557168999,-370.59546428683,-1585.63103597682,0.931516822094577
"TCGA-ED-A66Y-01A",-1080.86386130011,-798.891475534928,-1879.75533683503,0.946346227531292
"TCGA-DD-AACT-01A",-214.518993602075,1000.72085354193,786.201859939855,0.751546852925965
"TCGA-ZS-A9CG-01A",-573.070463405999,152.055881102897,-421.014582303103,0.85606570198832
"TCGA-DD-AADK-01A",-51.1833495261661,845.829273382303,794.645923856137,0.750728608992683
"TCGA-BC-A216-01A",-825.832219019119,905.250994734512,79.4187757153928,0.815823270427934
"TCGA-DD-AADV-01A",-261.04379450287,229.454956597871,-31.5888379049995,0.825137754861899
"TCGA-DD-AAE7-01A",-66.9089086875607,915.805534945028,848.896626257467,0.74544417057435
"TCGA-DD-AACX-01A",-1120.05038985367,244.822368277121,-875.228021576549,0.888599346901812
"TCGA-DD-AADQ-01A",-1008.87429433018,573.267963732592,-435.606330597592,0.857170814589448
"TCGA-DD-A39W-01A",-830.465625419441,14.6297576057607,-815.83586781368,0.884566783571161
"TCGA-DD-A1EJ-01A",-890.500768231305,345.003916964723,-545.496851266582,0.865366746168589
"TCGA-DD-AAED-01A",-1382.563379479,216.660496052656,-1165.90288342634,0.90735566902711
"TCGA-CC-A9FW-01A",-1171.52531925684,213.70129475945,-957.824024497391,0.89409505107038
