"","BTN2A2","BTNL3","BTNL9","CEACAM1","IDO1","TDO2","VTCN1","ADORA2A","BTN3A1","CD276","CD274","PDCD1LG2","PDCD1","CD28","CD80","CD86","CTLA4","ICOS","ICOSLG","CD160","BTLA","TNFRSF14","TNFSF14","TNFSF9","TNFRSF9","TNFSF4","TNFRSF4","CD70","CD27","CD40","CD40LG","HAVCR2","LGALS9","TNFSF18","TNFRSF18","CD47","SIRPA","CD226","CD96","TIGIT","PVR","BTN2A1","CD209","HLA-DOB","HLA-G","KIR2DL1","KIR2DL3","KIR2DL4","KIR3DL2","HLA-A","HLA-B","HLA-C","HLA-DMA","HLA-DMB","HLA-DOA","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DRA","HLA-DRB1","HLA-DRB5","HLA-E","HLA-F","LAG3","KIR2DS4","KIR3DL1","KIR3DL3"
"TCGA-DD-AACK-01A",1.5774,0,0.4939,16.608,0.0892,54.7355,0.47,0.3014,3.0084,10.1345,0.3701,0.1097,0.2332,0.233,0.0775,0.7192,0.3407,0.1623,0.0438,0.0403,0.0493,4.3566,6.2281,0.0163,9.4728,0.1548,1.6989,0.0814,0.3699,5.5976,0.677,0.9634,1.6542,0.0974,0.5247,3.2775,14.7184,0.056,0.3686,0.1591,8.7549,2.7566,0.5963,0.0633,0.8625,0.0053,0,0.0155,0.0284,252.2639,180.4877,296.5893,6.8066,1.3686,1.0794,6.0301,9.3364,3.9402,4.3825,94.231,89.5857,68.3333,107.3583,12.5972,0.451,0.0111,0.0143,0
"TCGA-DD-AADA-01A",0.6841,0,3.0268,12.7243,0.5524,19.9724,0.0069,0.7947,7.8457,5.2224,0.1478,0.2325,0.4594,0.3773,0.0196,0.6825,0.3425,0.2787,0.0897,0.1319,0.2205,6.843,4.1273,0.4358,0.1285,2.4204,0.973,0.2464,0.6337,2.6501,0.7577,0.6325,2.9615,0.0104,0.5602,2.0984,5.5305,0.2821,0.7824,0.447,6.1889,4.7671,0.1518,0.4682,3.2074,0.0371,0.0132,0.0364,0.1004,393.2299,457.209,245.6127,6.7401,1.3302,1.0243,10.5335,12.8258,3.8126,3.203,111.7364,68.0612,17.5085,150.3582,18.2203,2.4808,0,0.0112,0
"TCGA-DD-A3A5-01A",1.3099,0,0.531,15.3068,0.0207,64.1082,0.0159,0.2866,3.9062,10.811,0.3566,0.2271,0.2176,0.1278,0,0.2795,0,0.0639,0.0154,0.0423,0.0067,7.5181,1.0148,0.4556,0,0.1454,1.1156,0.0157,0.5631,32.1485,0.1297,0.3738,1.7651,0.012,0.5668,5.6928,5.6922,0.0246,0.3759,0.1064,12.7354,1.9974,0.2666,0.9762,1.1442,0.0284,0.0302,0.1254,0,324.2745,349.2666,441.2709,38.9461,2.1499,0.6143,8.2135,8.4568,1.6642,6.6547,85.2257,97.1493,10.201,164.4228,16.7623,0.7072,0.0747,0.0128,0
"TCGA-DD-A3A5-11A",0.3197,0,0.1351,8.5355,0.1017,69.6372,0.331,0.1046,1.2851,7.7145,0.1474,0.0858,0.0498,0.0598,0.0065,0.3523,0.0098,0.0079,0.0089,0.0894,0.0116,4.0916,3.7993,0.0511,0.0066,0.0895,0.1455,0.0546,0.0632,5.1419,0.0451,0.3574,0.5443,0.0208,0.0493,2.5402,24.1924,0.0245,0.0891,0.1097,4.1351,1.4276,0.1513,0.0212,0.3315,0,0.0262,0,0.0111,58.5091,82.5206,169.1828,2.3359,0.3801,0.5236,3.7187,3.6975,1.0523,1.6728,31.3951,29.1966,2.3379,68.1874,3.9813,0.7582,0.0649,0.0112,0
"TCGA-CC-A7IJ-01A",5.2295,0.0078,0.0685,0.362,3.8129,1.285,0.2392,0.0864,8.0632,69.6634,9.2115,39.0242,3.7708,0.94,0.3795,10.9655,1.4513,1.0722,0.3121,0.0768,0.1689,8.7318,0.2471,4.8043,3.9163,3.6492,2.9211,12.4784,4.6986,18.1544,0.3601,13.0031,18.3602,0.038,2.1437,17.1262,24.3544,0.1758,2.122,2.4807,13.517,11.0589,4.8433,1.278,1.9021,0,0.0359,0.1105,0.0406,761.5391,1070.9028,934.9952,91.1027,25.4394,18.2127,71.3058,163.7705,83.2243,61.4741,1956.0135,1556.5799,215.0332,346.2283,12.9336,10.911,0.0237,0.0102,0
"TCGA-RC-A6M5-01A",1.1216,0.0068,2.9224,10.3955,0.2376,101.8011,0.0164,0.087,3.2941,6.3786,0.1735,0.3884,0.2055,0.1018,0.0155,0.4532,0.2246,0.0693,0.0869,0.1335,0.0597,4.6634,8.4942,0.8519,0.0183,0.828,2.0595,0.065,0.3259,8.9928,0.2684,1.7594,2.5697,0.0825,0.4042,3.6469,18.8891,0.04,0.2771,0.0571,8.9465,3.0283,0.5406,0.2105,1.4664,0.0098,0.0104,0.0192,0.0088,244.5541,333.6379,191.0802,6.8722,1.3041,0.9477,10.9415,9.1113,1.3291,2.2946,97.5819,31.7557,15.1404,215.8649,8.146,0.2495,0,0.0531,0
"TCGA-DD-AACY-01A",0.7997,0.2927,0.9518,13.293,0.0966,96.0955,0,0.3076,2.0335,9.7885,0.1303,0.106,0.1891,0.1786,0.0309,0.6116,0.0371,0.0905,0.1316,0.0449,0.0165,8.8931,12.2092,0.5461,0.0187,0.7556,0.6449,0.0518,0.15,5.5141,0.3533,0.7162,1.1626,0.1876,0.2028,2.7648,15.1056,0.0436,0.4022,0.0749,9.0338,3.9116,0.1977,0.2519,2.2608,0,0,0.023,0.0106,276.0779,402.4675,320.0901,6.673,1.7582,1.1788,5.6441,10.3935,1.72,1.8116,112.493,38.2565,27.0166,154.3656,18.7685,0.3504,0.0493,0,0
"TCGA-BC-A10R-11A",0.6879,0,1.2025,9.5465,0.2845,90.9894,0.534,0.0917,2.0398,10.5503,1.9478,1.8425,0.2366,0.1147,0.259,3.0219,0.0972,0.0243,0.0274,0.1048,0.0399,4.0813,1.9017,0.049,0.1511,0.105,0.1394,0.0105,0.1332,5.3451,0.0864,4.2749,3.3525,0.255,0.1259,3.9707,27.0771,0.205,0.3046,0.3048,13.6704,1.7411,0.6345,0.1138,0.6263,0.0284,0.0201,0.0743,0.162,165.7807,196.6104,297.689,11.2469,3.2264,5.2703,22.9222,19.0896,8.2168,2.7151,296.9392,149.6957,31.1364,187.4959,8.5228,1.4925,0.2687,0.2994,0
"TCGA-DD-AAW0-01A",1.9847,0,0.7341,25.361,0.466,80.1042,0.2953,0.6449,4.9849,10.5405,0.5094,0.3509,0.5523,0.47,0.1518,2.1695,0.2753,0.1854,0.5807,0.0819,0.1463,5.4886,14.1542,1.1937,0.2238,1.5637,1.0973,0.1461,0.8145,10.3965,1.3494,4.0863,4.7149,0.2024,1.0391,5.3125,11.4683,0.299,1.2398,0.3869,15.8128,3.8306,0.6352,1.084,3.054,0,0.0255,0.0471,0.0649,194.4628,247.3395,370.9172,17.4714,4.0785,4.4538,33.4878,22.2589,4.6609,8.7998,340.1705,114.5316,55.7349,163.242,8.2918,0.5651,0.0126,0,0
"TCGA-DD-A39X-01A",1.5569,3.7114,0.4001,13.3207,0.2819,41.779,0.0306,0.1682,3.0073,11.9886,0.1309,0.1297,0.2035,0.1253,0.0462,0.8581,0.156,0.1128,0.1152,0.0374,0.036,7.8327,2.0374,1.4304,0.0175,0.1545,2.5207,0.0364,0.1543,8.138,0.4107,1.1146,4.4183,0.0185,1.0654,5.4405,10.9457,0.1168,0.2211,0.0792,6.8291,2.5177,0.8069,0.886,1.5151,0,0,0,0,464.6925,397.8087,343.4533,81.0296,5.4326,1.8005,32.265,38.3887,7.3007,14.5364,408.122,549.4709,53.1559,416.8591,15.132,0.3642,0,0,0
"TCGA-DD-AAD3-01A",2.3507,0.0245,0.683,14.8044,0.4221,118.4603,0.138,0.3846,6.1704,9.8744,0.2421,0.3599,0.389,0.7656,0.1486,1.4586,0.2696,0.2042,0.0469,0.0451,0.0827,7.9109,0.3038,0.1217,0.1127,0.9086,1.2593,0.013,0.4665,6.9996,0.6445,1.6289,5.2955,0.2081,0.5635,4.8708,9.8567,0.2097,0.6158,0.1731,9.5783,6.0622,0.5003,0.3336,4.5362,0,0,0,0.0106,567.9165,584.7138,1021.7081,13.5942,2.4366,2.7543,13.1415,19.0634,3.1129,2.7667,228.6842,93.27,50.8807,231.5511,22.7478,0.3776,0,0,0
"TCGA-DD-AAW2-01A",2.1244,0,2.3278,8.4237,0.3199,22.5129,0.0112,0.5003,13.4964,6.1368,0.2222,0.1112,0.0484,0.3945,0.021,0.3345,0,0,0.0434,0.0341,0.0187,6.1272,0.1485,0,0.0319,0.3839,1.5904,0.0221,0.0767,1.7435,0.0548,0.4211,1.0888,0.0674,0.2128,7.9498,1.8826,0.0198,0.0962,0.05,6.9585,7.7586,0.36,0.1546,1.8219,0.04,0.0212,0.0784,0.054,405.0604,662.0084,1079.1658,3.8239,0.7549,0.9413,6.8881,6.0021,1.8814,3.5163,56.7506,55.3249,29.9973,278.3231,5.7436,0.0996,0.0421,0.0181,0
"TCGA-DD-AAD2-01A",1.1862,0,0.8016,16.9081,0.3732,138.0607,0.2745,0.2578,3.4253,9.4632,0.6001,0.9339,1.0831,0.5386,0.0431,1.7407,0.5436,0.2949,0.0148,0.0697,0.1151,6.4935,11.2991,0.356,0.0959,0.5451,1.4798,0.1267,0.44,6.7898,0.9422,2.6128,5.7925,0.4,0.6755,6.3441,11.5494,0.1663,1.0052,0.2183,7.0129,2.9987,0.4518,0.3096,1.1783,0,0.0348,0,0.059,224.4715,333.939,485.7593,18.2561,3.8847,2.7579,18.889,17.7047,12.052,11.1377,239.6358,140.6279,22.8448,158.3358,10.8158,0.6979,0.0861,0.0148,0
"TCGA-DD-AACN-01A",1.1661,0.0527,1.5307,7.2939,0.5606,10.7323,4.037,0.5956,3.985,17.4481,0.8266,0.3597,1.0428,0.6109,0.1361,1.3922,0.7333,0.3521,0.1157,0.1231,0.1497,4.9144,5.1614,0.2519,0.2105,2.1033,1.1055,0.0841,1.1676,2.4287,0.8335,1.6259,6.794,0.1025,0.6477,3.7337,36.7237,0.2336,0.6453,0.3717,14.4452,7.7784,0.373,0.353,1.503,0.0304,0.0162,0.0448,0.0959,303.9788,255.9155,399.7175,7.7689,2.1973,2.4326,13.3555,20.7604,5.9578,10.0618,224.8158,126.9361,94.9816,188.3868,9.3724,0.7997,0,0.0138,0
"TCGA-5C-A9VG-01A",0.3661,0.0091,1.5357,0.5408,0.1471,0.4661,0.0516,0.0319,0.9947,22.6887,0.2009,0.211,0.2127,0.4018,0.0555,0.8632,0.1251,0.0509,0.2101,0.1348,0.0371,3.1026,8.1478,0.1638,0.0386,3.1408,1.399,0.0292,0.1181,1.982,0.1807,1.1042,2.7366,0.0889,0.4212,1.3572,3.573,0.0964,0.1786,0.0439,8.2853,3.9877,0.2779,0.1247,0.3796,0,0,0.0388,0.0238,56.7203,76.6665,54.2129,4.7002,0.9719,1.0686,8.6113,7.9964,2.5829,2.9247,80.2055,55.5205,9.1366,69.3768,2.5692,0.2482,0.0139,0.0119,0
"TCGA-G3-A25X-01A",2.5955,2.0573,0.3007,6.6863,0.4852,29.6361,0.7959,0.2519,4.6444,20.3471,0.5186,0.7778,1.9655,0.2527,0.2107,4.061,2.354,0.4845,0.0512,0.0552,0.0331,11.8078,2.1744,0.8286,0.1943,0.5225,10.5916,0.3644,0.8434,13.103,0.1935,5.5109,14.2835,0.1388,47.5771,18.2935,14.8541,0.0918,0.8502,1.2422,24.0711,6.2673,1.1728,0.8094,3.9755,0.2354,0.2001,0.4273,0.2122,668.0775,505.3799,546.499,72.7235,12.7461,10.2678,45.8257,97.3257,25.1241,33.0663,573.0886,699.8747,65.6434,321.5169,26.4591,5.0821,0.3962,0.0532,0
"TCGA-DD-A39X-11A",0.4218,0.0309,0.1192,7.8582,0.1772,84.5305,0.0946,0.1511,2.0386,5.5055,0.2569,0.3595,0.1294,0.0833,0.0328,0.6535,0.0493,0.0573,0.0936,0.2202,0.0334,4.2543,2.3559,0.083,0.0071,0.1864,0.035,0.0099,0.1711,6.4763,0.2686,1.0185,1.4643,0,0.0237,2.9935,7.296,0.106,0.2709,0.1213,3.7998,1.7436,0.7787,0.2145,0.7012,0,0.0095,0.0437,0.0883,113.3834,107.5079,109.9664,4.5825,1.268,1.6146,11.0129,11.0194,4.2754,4.7342,91.4952,87.1779,10.3358,102.6342,4.0807,1.2629,0,0.0806,0
"TCGA-BC-A10R-01A",0.3592,0,1.8993,11.7327,0.0366,27.7122,0.4324,0.4457,1.7029,10.1142,0.1282,0.3609,0.1142,0.1862,0.0397,0.7569,0.0522,0.0182,0.0103,0.0442,0.0177,9.1825,0.0367,0.7228,0.0226,0.9142,2.0761,0.0209,0.0483,12.6176,0.112,0.9242,3.363,0.1113,0.3516,3.3436,19.1189,0.0946,0.0937,0.0393,5.8889,2.103,0.5966,0.1054,0.2716,0.0189,0,0.0093,0,52.0506,81.4102,133.6539,8.8478,1.8303,2.0776,12.3034,11.2168,3.2069,1.5492,125.5911,66.2436,13.496,107.3086,2.9331,0.1462,0,0,0
"TCGA-BC-A3KF-01A",2.0183,0.0117,2.5393,30.1304,0.0818,96.7342,0.0094,0.361,4.8765,17.1032,0.33,0.2171,0.1429,0.5258,0.0178,0.6933,0.04,0.0597,0.0825,0.0826,0.0356,8.0441,1.8657,0.1834,0.0247,1.127,0.6132,0.0373,0.1727,12.8934,0.6087,0.5597,1.6631,0.1563,0.1235,4.1538,8.316,0.0543,0.3732,0.0843,2.6886,3.5794,0.8405,0.4133,1.6753,0.0253,0,0.0414,0.0076,506.6878,458.7666,477.7211,6.0812,1.0517,0.5619,10.7016,5.943,1.6543,2.0425,93.045,47.2297,8.9722,451.5505,17.5921,0.7471,0.0266,0.0153,0
"TCGA-RG-A7D4-01A",6.9021,0,0.7896,5.7144,1.0119,0.3477,0.1727,0.337,12.6455,8.9902,0.6301,0.9891,6.9322,0.942,0.1627,3.2634,3.6408,1.1432,0.042,0.1514,0.6084,10.0142,2.166,0.72,1.5184,0.4486,3.6743,0.8715,5.7156,8.1724,1.2141,4.4363,4.4887,0.1302,2.777,7.3127,11.4508,0.2776,1.7722,2.73,7.4046,8.0293,0.5153,5.8987,6.0952,0.0309,0.0328,1.0009,0.1672,920.7426,767.8737,1039.0476,162.4335,16.4479,34.7884,151.737,97.5971,15.8741,114.3541,1736.9036,1112.1474,716.363,422.1829,31.3078,9.7104,0,0.0699,0
"TCGA-G3-AAV4-01A",5.0803,0.0201,4.9161,7.7464,2.935,0.7089,0,0.4336,16.8642,3.502,0.5438,0.5754,0.0819,0.191,0.1605,1.1428,0.0115,0.0187,0.0342,0.0495,0.0204,10.1846,0.2003,1.3372,0.0386,0.2106,2.1527,0.0642,0.0371,18.3367,0.4639,0.8713,2.5563,0.11,0.1545,0.5784,11.6433,0.0557,0.2533,0.0524,15.3787,7.0336,0.2781,0.0873,1.0861,0.0145,0,0.057,0.0131,578.2996,863.3435,979.1897,10.4238,1.3251,1.0221,11.8776,7.9685,2.675,5.8821,106.8022,109.3043,68.3655,535.7037,33.4647,1.1809,0,0.0262,0
"TCGA-2Y-A9H7-01A",1.5631,0,1.3467,10.0567,0.3471,41.3102,0,0.4564,2.6038,23.5975,0.0854,0.1082,0.159,0.3089,0.0273,0.582,0.123,0.1134,0.1052,0.0442,0.0923,12.6646,2.0445,0.043,0.0249,0.124,0.591,0.0573,0.3053,1.1553,0.7674,0.6992,1.2313,0.0612,0.4279,4.1168,9.4823,0.0565,0.3402,0.0432,8.9482,3.2941,0.2266,0.2051,0.4976,0.0104,0,0.0305,0,115.9675,98.547,80.4552,7.2966,1.7534,2.4292,22.3407,20.1963,5.5239,12.1036,173.5916,99.3331,73.3114,60.9943,5.7129,0.4019,0.0109,0.0094,0
"TCGA-DD-A11D-01A",1.2799,0.0702,2.0509,30.4438,0.5108,124.3902,0.0113,0.3026,4.8434,9.8375,0.2752,0.2395,0.049,0.2946,0.032,0.4685,0.048,0.0651,0.1174,0.1035,0.0095,3.2174,1.9138,0.021,0.0162,0.2767,2.4075,0.0224,0.0778,5.8033,0.444,0.448,2.7343,0.0853,0.3504,4.5273,43.3517,0.0652,0.3413,0.0731,9.4843,2.4699,0.6287,0.0348,0.7579,0.0405,0,0.0199,0.0183,286.7554,707.027,613.4308,3.8069,0.9507,0.5242,7.6357,6.4365,1.802,0.7965,67.8915,35.2661,7.154,178.0429,16.3174,0.157,0.0639,0.0183,0
"TCGA-DD-A4NB-01A",1.6126,0,1.5285,8.2659,0.5515,60.3865,0.065,0.0052,5.2882,9.518,0.4683,0.5033,0.8756,0.4385,0.0816,1.4691,0.4903,0.2078,0.0211,0.1156,0.1332,3.3391,6.8733,0.495,0.1617,1.3072,1.701,0.1,0.8598,6.9193,1.1567,3.4776,2.9036,0.8927,0.4816,4.6883,14.3669,0.2272,1.6644,0.201,6.1405,4.8082,0.8864,0.1444,1.7234,0,0,0.0254,0.0349,209.4436,210.6833,237.8949,10.0968,2.6915,3.1415,21.5434,20.9256,6.4691,4.2212,228.3955,95.6,28.9064,163.0153,7.5329,0.937,0.0544,0.0234,0
"TCGA-BD-A2L6-11A",2.5767,0.0071,2.0995,10.2262,5.0771,90.6321,1.8211,0.1233,7.5885,6.8849,1.4006,2.5712,1.2404,1.5834,0.5576,7.0871,1.2719,1.4148,0.0111,0.7158,0.8017,11.1325,3.4165,0.2425,0.5422,0.7477,2.1508,0.5967,1.9155,13.0377,5.2089,8.1466,10.0362,0.2059,1.1385,6.9082,15.1796,0.8626,5.259,1.021,5.9352,4.5989,2.1972,1.6456,2.8141,0.0102,0.0325,0.0999,0.0275,564.4247,648.9003,526.6342,47.5232,15.1278,22.1477,134.9647,82.3058,30.849,35.6578,1247.1059,562.4047,132.8368,357.9182,24.6999,2.4521,0.075,0.0644,0
"TCGA-DD-AADJ-01A",0.8289,0.0772,0.9816,8.6076,0.7198,34.4516,0.0104,0.4044,1.2747,9.5369,0.1375,0.1419,0.2245,0.1028,0.0195,0.7852,0.2346,0.0477,0.037,0.0079,0.0609,4.7332,2.1008,0.0576,0.0198,0.4672,2.0046,0.0615,0.1424,1.0705,0.3389,0.7816,2.7954,0.0313,0.8889,3.6321,10.1039,0.0345,0.2791,0.0927,8.6096,3.0661,0.0853,0.1435,1.5486,0.0185,0.0197,0,0.0167,224.0242,129.9583,156.757,5.7408,1.2109,1.708,10.8754,18.8938,4.2447,3.7499,124.4663,90.7738,20.6364,80.3868,9.6144,0.4929,0.0781,0,0
"TCGA-MI-A75G-01A",0.6529,0.5632,1.8401,18.1084,0.0917,39.7778,0.0186,0.2829,3.4481,5.9209,0.229,0.0774,0.0897,0.2003,0.0117,0.2464,0.0703,0.0286,0.1773,0.0142,0.0052,6.6353,0.2874,0.0345,0.0326,0.2896,1.3659,0.0615,0.0854,18.0702,0.1118,0.4159,1.0077,0.0281,0.1925,3.2176,17.6056,0.0124,0.1004,0.0556,18.1871,2.5937,0.422,0.0382,0.9606,0.0222,0,0,0.01,146.8038,161.569,445.345,11.3422,0.8403,0.2549,2.9528,4.724,0.6479,0.6715,33.5189,22.0317,4.7869,189.0477,10.082,0.3941,0.0117,0,0
"TCGA-BC-A10U-11A",0.3134,0.0149,0.7996,8.5233,0.1934,64.7668,1.3792,0.0435,1.0335,12.0186,1.9482,0.3898,0.1652,0.209,0.0794,0.9442,0.1363,0.0555,0.0098,0.0597,0.0404,2.5562,1.3044,0.1227,0.1176,0.0736,0.2012,0.0834,0.2069,3.1313,0.1477,1.9355,1.1614,0.0363,0.2725,3.423,16.3366,0.0934,0.3633,0.1137,13.4772,1.4827,0.888,0.0926,0.4033,0.0215,0,0.0529,0.0097,90.723,97.5367,58.3862,4.6662,0.8062,1.3032,10.3745,9.9497,2.1295,1.8365,115.8177,49.3668,23.7145,128.9625,2.4632,0.9366,0,0.0097,0
"TCGA-CC-5262-01A",1.015,0,0.2816,18.4994,0.319,30.5093,0.3301,0.271,3.1647,19.3098,0.4919,0.5228,0.314,0.581,0.2261,1.6054,0.4032,0.3022,0.1896,0.04,0.0629,6.813,2.1329,0.2084,0.2037,0.338,4.1668,0.1187,0.4294,11.6188,0.7356,2.7287,8.4999,0.441,1.983,7.7875,21.7993,0.0698,0.7554,0.3169,11.8967,3.8973,0.8436,0.1269,2.3956,0,0.0856,0.0263,0,647.1943,503.0376,391.5215,16.9215,3.8886,2.147,9.6663,21.0409,9.989,5.5608,221.4769,203.7648,19.6363,201.9703,16.7231,0.847,0.0282,0,0
"TCGA-DD-AAW1-01A",2.1312,0.0222,2.4608,10.7373,0.1657,3.4926,0.0895,0.4526,4.7342,6.2198,0.3121,0.2525,0.0603,0.2736,0.0337,0.4677,0.0169,0.0069,0.0097,0.0409,0.015,3.6765,0.7934,0.1658,0.9777,0.2917,0.3776,0,0.1503,4.4989,0.078,0.3936,1.7352,0.054,0.1137,6.0404,8.7112,0.0251,0.0514,0.0267,5.0732,2.3558,0.4092,0.1377,1.1371,0.0107,0.034,0.0419,0.0577,230.6206,299.0426,281.0922,16.8201,1.245,0.7112,3.5127,5.6199,1.3959,1.219,98.6037,71.4609,19.9959,215.3037,7.4625,0.2187,0.0786,0.029,0
"TCGA-G3-A7M7-01A",1.0652,0,1.221,12.6151,0.0132,70.5017,0.2671,0.0772,1.4431,7.6826,0.0562,0.038,0.0551,0.0946,0.0216,0.3226,0.054,0.0351,0.0915,0.0058,0.0192,6.5604,1.334,0.509,0.0218,0.2798,1.033,0.0453,0.0699,3.4549,0.262,0.6329,1.6294,0.023,0.3999,2.7749,9.1954,0.0203,0.1644,0.0607,13.1615,1.9217,0.3716,0.1174,0.7862,0,0,0.0134,0.0246,137.6525,202.914,346.1064,11.1113,1.0567,0.3651,3.3199,4.2516,0.9499,0.4617,62.4923,47.4271,7.0786,131.1205,4.2029,0.1058,0.0144,0.0123,0
"TCGA-DD-A4NP-01A",0.7785,0.0106,1.7908,5.1492,0.0855,0.8107,0.0171,0.0991,4.8008,3.767,0.1389,0.1013,0.0247,0.0744,0.0242,0.3925,0,0.0148,0.0139,0.1111,0.0216,6.9811,4.806,0.0476,0.3573,0.1146,0.3013,0.0085,0.0687,5.4129,0.056,0.4281,1.2508,0.0258,0.0612,5.1861,5.7936,0.0437,0.1108,0.0511,2.7653,1.8291,0.6406,0.0659,1.4568,0.0307,0.0326,0.0075,0.0276,331.984,430.0032,209.7325,10.0683,1.0854,0.5206,11.2745,8.2593,0.9102,1.8066,118.1407,87.5919,22.6119,224.0401,21.6292,0.2971,0.0242,0.0555,0
